"Notes"	"County"	"County Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Pulaski County, AR"	"05119"	"Jan., 2000"	"2000/01"	57	Not Applicable	Not Applicable	0.0%
	"Pulaski County, AR"	"05119"	"Feb., 2000"	"2000/02"	34	Not Applicable	Not Applicable	0.0%
	"Pulaski County, AR"	"05119"	"Mar., 2000"	"2000/03"	34	Not Applicable	Not Applicable	0.0%
	"Pulaski County, AR"	"05119"	"Apr., 2000"	"2000/04"	30	Not Applicable	Not Applicable	0.0%
	"Pulaski County, AR"	"05119"	"May, 2000"	"2000/05"	19	Not Applicable	Not Applicable	0.0%
	"Pulaski County, AR"	"05119"	"Jun., 2000"	"2000/06"	14	Not Applicable	Not Applicable	0.0%
	"Pulaski County, AR"	"05119"	"Jul., 2000"	"2000/07"	32	Not Applicable	Not Applicable	0.0%
	"Pulaski County, AR"	"05119"	"Aug., 2000"	"2000/08"	13	Not Applicable	Not Applicable	0.0%
	"Pulaski County, AR"	"05119"	"Sep., 2000"	"2000/09"	12	Not Applicable	Not Applicable	0.0%
	"Pulaski County, AR"	"05119"	"Oct., 2000"	"2000/10"	31	Not Applicable	Not Applicable	0.0%
	"Pulaski County, AR"	"05119"	"Nov., 2000"	"2000/11"	28	Not Applicable	Not Applicable	0.0%
	"Pulaski County, AR"	"05119"	"Dec., 2000"	"2000/12"	23	Not Applicable	Not Applicable	0.0%
	"Saline County, AR"	"05125"	"Jan., 2000"	"2000/01"	12	Not Applicable	Not Applicable	0.0%
	"Saline County, AR"	"05125"	"Dec., 2000"	"2000/12"	11	Not Applicable	Not Applicable	0.0%
	"Sebastian County, AR"	"05131"	"Jan., 2000"	"2000/01"	18	Not Applicable	Not Applicable	0.0%
	"Sebastian County, AR"	"05131"	"Feb., 2000"	"2000/02"	18	Not Applicable	Not Applicable	0.0%
	"Sebastian County, AR"	"05131"	"Sep., 2000"	"2000/09"	10	Not Applicable	Not Applicable	0.0%
	"Sebastian County, AR"	"05131"	"Nov., 2000"	"2000/11"	11	Not Applicable	Not Applicable	0.0%
	"Sebastian County, AR"	"05131"	"Dec., 2000"	"2000/12"	15	Not Applicable	Not Applicable	0.0%
	"Union County, AR"	"05139"	"Jan., 2000"	"2000/01"	12	Not Applicable	Not Applicable	0.0%
	"Washington County, AR"	"05143"	"Jan., 2000"	"2000/01"	13	Not Applicable	Not Applicable	0.0%
	"Washington County, AR"	"05143"	"May, 2000"	"2000/05"	12	Not Applicable	Not Applicable	0.0%
	"Washington County, AR"	"05143"	"Oct., 2000"	"2000/10"	13	Not Applicable	Not Applicable	0.0%
	"Washington County, AR"	"05143"	"Dec., 2000"	"2000/12"	14	Not Applicable	Not Applicable	0.0%
	"White County, AR"	"05145"	"Jan., 2000"	"2000/01"	15	Not Applicable	Not Applicable	0.0%
	"White County, AR"	"05145"	"Nov., 2000"	"2000/11"	12	Not Applicable	Not Applicable	0.0%
	"Alameda County, CA"	"06001"	"Jan., 2000"	"2000/01"	156	Not Applicable	Not Applicable	0.1%
	"Alameda County, CA"	"06001"	"Feb., 2000"	"2000/02"	84	Not Applicable	Not Applicable	0.0%
	"Alameda County, CA"	"06001"	"Mar., 2000"	"2000/03"	85	Not Applicable	Not Applicable	0.0%
	"Alameda County, CA"	"06001"	"Apr., 2000"	"2000/04"	62	Not Applicable	Not Applicable	0.0%
	"Alameda County, CA"	"06001"	"May, 2000"	"2000/05"	74	Not Applicable	Not Applicable	0.0%
	"Alameda County, CA"	"06001"	"Jun., 2000"	"2000/06"	61	Not Applicable	Not Applicable	0.0%
	"Alameda County, CA"	"06001"	"Jul., 2000"	"2000/07"	57	Not Applicable	Not Applicable	0.0%
	"Alameda County, CA"	"06001"	"Aug., 2000"	"2000/08"	56	Not Applicable	Not Applicable	0.0%
	"Alameda County, CA"	"06001"	"Sep., 2000"	"2000/09"	59	Not Applicable	Not Applicable	0.0%
	"Alameda County, CA"	"06001"	"Oct., 2000"	"2000/10"	66	Not Applicable	Not Applicable	0.0%
	"Alameda County, CA"	"06001"	"Nov., 2000"	"2000/11"	68	Not Applicable	Not Applicable	0.0%
	"Alameda County, CA"	"06001"	"Dec., 2000"	"2000/12"	74	Not Applicable	Not Applicable	0.0%
	"Butte County, CA"	"06007"	"Jan., 2000"	"2000/01"	29	Not Applicable	Not Applicable	0.0%
	"Butte County, CA"	"06007"	"Feb., 2000"	"2000/02"	21	Not Applicable	Not Applicable	0.0%
	"Butte County, CA"	"06007"	"Mar., 2000"	"2000/03"	23	Not Applicable	Not Applicable	0.0%
	"Butte County, CA"	"06007"	"Apr., 2000"	"2000/04"	24	Not Applicable	Not Applicable	0.0%
	"Butte County, CA"	"06007"	"May, 2000"	"2000/05"	22	Not Applicable	Not Applicable	0.0%
	"Butte County, CA"	"06007"	"Jun., 2000"	"2000/06"	21	Not Applicable	Not Applicable	0.0%
	"Butte County, CA"	"06007"	"Jul., 2000"	"2000/07"	10	Not Applicable	Not Applicable	0.0%
	"Butte County, CA"	"06007"	"Aug., 2000"	"2000/08"	14	Not Applicable	Not Applicable	0.0%
	"Butte County, CA"	"06007"	"Sep., 2000"	"2000/09"	21	Not Applicable	Not Applicable	0.0%
	"Butte County, CA"	"06007"	"Oct., 2000"	"2000/10"	17	Not Applicable	Not Applicable	0.0%
	"Butte County, CA"	"06007"	"Nov., 2000"	"2000/11"	22	Not Applicable	Not Applicable	0.0%
	"Butte County, CA"	"06007"	"Dec., 2000"	"2000/12"	30	Not Applicable	Not Applicable	0.0%
	"Contra Costa County, CA"	"06013"	"Jan., 2000"	"2000/01"	113	Not Applicable	Not Applicable	0.0%
	"Contra Costa County, CA"	"06013"	"Feb., 2000"	"2000/02"	73	Not Applicable	Not Applicable	0.0%
	"Contra Costa County, CA"	"06013"	"Mar., 2000"	"2000/03"	58	Not Applicable	Not Applicable	0.0%
	"Contra Costa County, CA"	"06013"	"Apr., 2000"	"2000/04"	65	Not Applicable	Not Applicable	0.0%
	"Contra Costa County, CA"	"06013"	"May, 2000"	"2000/05"	46	Not Applicable	Not Applicable	0.0%
	"Contra Costa County, CA"	"06013"	"Jun., 2000"	"2000/06"	50	Not Applicable	Not Applicable	0.0%
	"Contra Costa County, CA"	"06013"	"Jul., 2000"	"2000/07"	50	Not Applicable	Not Applicable	0.0%
	"Contra Costa County, CA"	"06013"	"Aug., 2000"	"2000/08"	44	Not Applicable	Not Applicable	0.0%
	"Contra Costa County, CA"	"06013"	"Sep., 2000"	"2000/09"	55	Not Applicable	Not Applicable	0.0%
	"Contra Costa County, CA"	"06013"	"Oct., 2000"	"2000/10"	46	Not Applicable	Not Applicable	0.0%
	"Contra Costa County, CA"	"06013"	"Nov., 2000"	"2000/11"	50	Not Applicable	Not Applicable	0.0%
	"Contra Costa County, CA"	"06013"	"Dec., 2000"	"2000/12"	59	Not Applicable	Not Applicable	0.0%
